user_id,date,activeZoneMinutes,fatBurnActiveZoneMinutes,cardioActiveZoneMinutes
smcfb.01.005,2023-06-17,4,4,0
smcfb.01.005,2023-06-20,4,4,0
smcfb.01.005,2023-06-22,3,3,0
smcfb.01.005,2023-06-23,2,2,0
smcfb.01.005,2023-06-25,1,1,0
smcfb.01.005,2023-06-26,2,2,0
smcfb.01.005,2023-06-29,1,1,0
smcfb.01.005,2023-07-03,7,7,0
smcfb.01.005,2023-07-01,1,1,0
smcfb.01.005,2023-07-02,2,2,0
smcfb.01.005,2023-07-05,1,1,0
smcfb.01.005,2023-07-06,3,1,2
smcfb.01.005,2023-07-05,1,1,0
smcfb.01.005,2023-07-06,3,1,2
smcfb.01.005,2023-07-07,2,2,0
smcfb.01.005,2023-07-08,3,3,0
smcfb.01.005,2023-07-09,5,5,0
smcfb.01.005,2023-07-10,2,2,0
smcfb.01.005,2023-07-11,4,4,0
smcfb.01.005,2023-07-12,28,28,0
smcfb.01.005,2023-07-13,8,8,0
smcfb.01.005,2023-07-12,9,9,0
smcfb.01.005,2023-07-13,1,1,0
smcfb.01.005,2023-07-14,3,3,0
smcfb.01.005,2023-07-15,2,2,0
smcfb.01.005,2023-07-16,18,18,0
smcfb.01.005,2023-07-17,7,7,0
smcfb.01.005,2023-07-18,1,1,0
smcfb.01.005,2023-07-19,24,24,0
smcfb.01.005,2023-07-20,13,13,0
smcfb.01.005,2023-07-21,99,95,4
smcfb.01.005,2023-07-22,29,29,0
smcfb.01.005,2023-07-23,56,56,0
smcfb.01.005,2023-07-24,18,18,0
smcfb.01.005,2023-07-23,56,56,0
smcfb.01.005,2023-07-24,18,18,0
smcfb.01.005,2023-07-25,4,4,0
smcfb.01.005,2023-07-26,1,1,0
smcfb.01.005,2023-07-27,25,25,0
smcfb.01.005,2023-07-28,7,7,0
smcfb.01.005,2023-07-29,4,4,0
smcfb.01.005,2023-07-30,16,14,2
smcfb.01.005,2023-07-31,140,140,0
smcfb.01.005,2023-08-01,81,81,0
smcfb.01.005,2023-08-02,46,46,0
smcfb.01.005,2023-08-03,3,3,0
smcfb.01.005,2023-08-04,104,70,34
smcfb.01.005,2023-08-05,6,6,0
smcfb.01.005,2023-08-06,28,28,0
smcfb.01.005,2023-08-07,24,24,0
smcfb.01.005,2023-08-08,86,84,2
smcfb.01.005,2023-08-09,20,20,0
smcfb.01.005,2023-08-10,39,37,2
smcfb.01.005,2023-08-11,43,37,6
smcfb.01.005,2023-08-12,59,59,0
smcfb.01.005,2023-08-13,27,27,0
smcfb.01.005,2023-08-14,23,19,4
smcfb.01.005,2023-08-15,5,5,0
smcfb.01.005,2023-08-16,19,19,0
smcfb.01.005,2023-08-17,18,18,0
smcfb.01.005,2023-08-18,53,35,18
smcfb.01.005,2023-08-19,72,72,0
smcfb.01.005,2023-08-20,32,32,0
smcfb.01.005,2023-08-21,73,49,24
smcfb.01.005,2023-08-22,32,32,0
smcfb.01.005,2023-08-23,9,7,2
smcfb.01.005,2023-08-24,18,18,0
smcfb.01.005,2023-08-25,21,19,2
smcfb.01.005,2023-08-26,43,43,0
smcfb.01.005,2023-08-27,15,15,0
smcfb.01.005,2023-08-28,9,9,0
smcfb.01.005,2023-08-29,5,5,0
smcfb.01.005,2023-08-30,17,17,0
smcfb.01.005,2023-08-31,52,48,4
smcfb.01.005,2023-09-01,53,53,0
smcfb.01.005,2023-09-02,23,23,0
smcfb.01.005,2023-09-03,54,52,2
smcfb.01.005,2023-09-04,26,26,0
smcfb.01.005,2023-09-05,70,68,2
smcfb.01.005,2023-09-06,26,26,0
smcfb.01.005,2023-09-07,19,19,0
smcfb.01.005,2023-09-08,87,87,0
smcfb.01.005,2023-09-09,102,88,14
smcfb.01.005,2023-09-10,28,28,0
smcfb.01.005,2023-09-11,14,14,0
smcfb.01.005,2023-09-12,3,3,0
smcfb.01.005,2023-09-13,12,10,2
smcfb.01.005,2023-09-14,29,25,4
smcfb.01.005,2023-09-15,4,4,0
smcfb.01.005,2023-09-16,13,13,0
smcfb.01.005,2023-09-17,17,17,0
smcfb.01.005,2023-09-18,9,9,0
smcfb.01.005,2023-09-19,14,14,0
smcfb.01.005,2023-09-20,5,5,0
smcfb.01.005,2023-09-21,5,5,0
smcfb.01.005,2023-09-22,7,7,0
smcfb.01.005,2023-09-23,0,0,0
smcfb.01.005,2023-09-24,0,0,0
smcfb.01.005,2023-09-25,0,0,0
smcfb.01.005,2023-09-26,0,0,0
smcfb.01.005,2023-09-27,0,0,0
smcfb.01.005,2023-09-28,0,0,0
smcfb.01.005,2023-09-29,0,0,0
smcfb.01.005,2023-09-30,0,0,0
smcfb.01.005,2023-10-01,0,0,0
smcfb.01.005,2023-10-02,0,0,0
smcfb.01.005,2023-10-03,0,0,0
smcfb.01.005,2023-10-04,0,0,0
smcfb.01.005,2023-10-05,0,0,0
smcfb.01.005,2023-10-06,0,0,0
smcfb.01.005,2023-10-07,0,0,0
smcfb.01.005,2023-10-08,0,0,0
smcfb.01.005,2023-10-09,0,0,0
smcfb.01.005,2023-10-10,0,0,0
smcfb.01.005,2023-10-11,0,0,0
smcfb.01.005,2023-10-12,0,0,0
smcfb.01.005,2023-10-13,0,0,0
smcfb.01.005,2023-10-14,0,0,0
smcfb.01.005,2023-10-15,0,0,0
smcfb.01.005,2023-10-16,0,0,0
smcfb.01.005,2023-10-17,0,0,0
smcfb.01.005,2023-10-18,0,0,0
smcfb.01.005,2023-10-19,0,0,0
smcfb.01.005,2023-10-20,0,0,0
smcfb.01.005,2023-10-21,0,0,0
smcfb.01.005,2023-10-22,0,0,0
smcfb.01.005,2023-10-23,0,0,0
smcfb.01.005,2023-10-24,0,0,0
smcfb.01.005,2023-10-25,0,0,0
smcfb.01.005,2023-10-26,0,0,0
smcfb.01.005,2023-10-27,0,0,0
smcfb.01.005,2023-10-28,0,0,0
smcfb.01.005,2023-10-29,0,0,0
smcfb.01.005,2023-10-30,0,0,0
smcfb.01.005,2023-10-31,0,0,0
smcfb.01.005,2023-11-01,0,0,0
smcfb.01.005,2023-11-02,0,0,0
smcfb.01.005,2023-11-03,0,0,0
smcfb.01.005,2023-11-04,0,0,0
smcfb.01.005,2023-11-05,0,0,0
smcfb.01.005,2023-11-06,0,0,0
smcfb.01.005,2023-11-07,0,0,0
smcfb.01.005,2023-11-08,0,0,0
smcfb.01.005,2023-11-09,0,0,0
smcfb.01.005,2023-11-10,0,0,0
smcfb.01.005,2023-11-11,0,0,0
