user_id,date,distance,steps,calories,floors
smcfb.01.109,2023-09-27,3.2041,4825,1519,0
smcfb.01.109,2023-09-28,1.4576099999999999,2195,1448,0
smcfb.01.109,2023-09-29,2.7067099999999997,4076,1491,0
smcfb.01.109,2023-09-30,0.81945,1234,1295,0
smcfb.01.109,2023-10-01,2.2007,3320,1427,0
smcfb.01.109,2023-10-02,4.33101,6522,1596,0
smcfb.01.109,2023-10-03,1.92445,2898,1430,0
smcfb.01.109,2023-10-04,3.46507,5218,1449,0
smcfb.01.109,2023-10-05,1.69335,2550,1464,0
smcfb.01.109,2023-10-06,1.2444499999999998,1874,1298,0
smcfb.01.109,2023-10-07,1.00871,1519,1330,0
smcfb.01.109,2023-10-08,0.50203,756,1295,0
smcfb.01.109,2023-10-02,4.33101,6522,1596,0
smcfb.01.109,2023-10-09,1.80757,2722,1441,0
smcfb.01.109,2023-10-10,0.9688599999999999,1459,1443,0
smcfb.01.109,2023-10-11,1.87066,2817,1473,0
smcfb.01.109,2023-10-12,1.7823399999999998,2684,1505,0
smcfb.01.109,2023-10-13,6.776529999999999,10214,1813,0
smcfb.01.109,2023-10-14,5.07022,7646,1660,0
smcfb.01.109,2023-10-15,1.48882,2242,1401,0
smcfb.01.109,2023-10-16,2.8249199999999997,4254,1608,0
smcfb.01.109,2023-10-17,5.6007,8434,1724,0
smcfb.01.109,2023-10-18,3.0745999999999998,4630,1525,0
smcfb.01.109,2023-10-19,1.89722,2857,1402,0
smcfb.01.109,2023-10-20,2.6751799999999997,4780,1545,0
smcfb.01.109,2023-10-21,0.9426,2899,1522,0
smcfb.01.109,2023-10-22,1.42441,2145,1442,0
smcfb.01.109,2023-10-23,8.94226,13466,1846,0
smcfb.01.109,2023-10-24,4.60489,6939,1597,0
smcfb.01.109,2023-10-25,7.65729,11531,1797,0
smcfb.01.109,2023-10-26,3.74132,5634,1482,0
smcfb.01.109,2023-10-27,4.41468,6648,1532,0
smcfb.01.109,2023-10-28,3.0486999999999997,4591,1457,0
smcfb.01.109,2023-10-29,3.7625699999999997,5666,1563,0
smcfb.01.109,2023-10-30,2.2571399999999997,3399,1463,0
smcfb.01.109,2023-10-31,3.5447499999999996,5338,1647,0
smcfb.01.109,2023-11-01,6.84582,10309,1719,0
smcfb.01.109,2023-11-02,6.63531,9992,1762,0
smcfb.01.109,2023-11-03,3.0686299999999997,4621,1499,0
smcfb.01.109,2023-11-04,1.04789,1578,1381,0
smcfb.01.109,2023-11-05,1.4237499999999998,2144,1420,0
smcfb.01.109,2023-11-06,0.8911699999999999,1342,1344,0
smcfb.01.109,2023-11-07,5.58542,8411,1640,0
smcfb.01.109,2023-11-08,4.175619999999999,6288,1571,0
smcfb.01.109,2023-11-09,1.23183,1855,1407,0
smcfb.01.109,2023-11-10,1.12093,1688,1372,0
smcfb.01.109,2023-11-11,1.55191,2337,1444,0
smcfb.01.109,2023-11-12,2.86277,4311,1486,0
smcfb.01.109,2023-11-13,6.57421,9900,1716,0
smcfb.01.109,2023-11-14,4.52558,6815,1561,0
smcfb.01.109,2023-11-15,0.81546,1228,1324,0
smcfb.01.109,2023-11-16,0.70988,1069,1230,0
smcfb.01.109,2023-11-17,0.79687,1200,1269,0
smcfb.01.109,2023-11-18,0.33932999999999996,511,1263,0
smcfb.01.109,2023-11-19,0.16535,249,1229,0
smcfb.01.109,2023-11-20,4.67964,7047,1578,0
smcfb.01.109,2023-11-21,4.2041699999999995,6331,1572,0
smcfb.01.109,2023-11-22,4.67964,7047,1607,0
smcfb.01.109,2023-11-23,3.9777299999999998,5990,1546,0
smcfb.01.109,2023-11-24,5.675739999999999,8547,1671,0
smcfb.01.109,2023-11-25,1.9762499999999998,2976,1507,0
smcfb.01.109,2023-11-26,2.04,3072,1541,0
smcfb.01.109,2023-11-27,2.76449,4163,1452,0
smcfb.01.109,2023-11-28,1.2411299999999998,1869,1344,0
smcfb.01.109,2023-11-20,4.67964,7047,1578,0
smcfb.01.109,2023-11-24,5.675739999999999,8547,1671,0
smcfb.01.109,2023-11-29,5.01035,7545,1611,0
smcfb.01.109,2023-11-30,0.76699,1155,1305,0
smcfb.01.109,2023-12-01,1.13953,1716,1349,0
