user_id,date,activeZoneMinutes,fatBurnActiveZoneMinutes,cardioActiveZoneMinutes
smcfb.01.158,2023-11-28,174,82,72
smcfb.01.158,2023-11-29,70,62,8
smcfb.01.158,2023-11-30,54,50,4
smcfb.01.158,2023-12-01,8,8,0
smcfb.01.158,2023-12-02,31,25,6
smcfb.01.158,2023-12-03,11,9,2
smcfb.01.158,2023-12-04,14,8,6
smcfb.01.158,2023-12-05,22,20,2
smcfb.01.158,2023-12-06,34,34,0
smcfb.01.158,2023-12-07,18,14,4
smcfb.01.158,2023-12-08,98,66,30
smcfb.01.158,2023-12-09,178,116,60
smcfb.01.158,2023-12-10,123,93,30
smcfb.01.158,2023-12-11,79,57,22
smcfb.01.158,2023-12-12,67,53,14
smcfb.01.158,2023-12-13,59,35,24
smcfb.01.158,2023-12-14,52,48,4
smcfb.01.158,2023-12-15,21,17,4
smcfb.01.158,2023-12-16,38,34,4
smcfb.01.158,2023-12-17,19,17,2
smcfb.01.158,2023-12-18,8,8,0
smcfb.01.158,2023-12-19,291,117,156
smcfb.01.158,2023-12-20,225,157,66
smcfb.01.158,2023-12-21,65,43,16
smcfb.01.158,2023-12-22,18,16,2
smcfb.01.158,2023-12-23,7,7,0
smcfb.01.158,2023-12-24,22,12,10
smcfb.01.158,2023-12-25,15,15,0
smcfb.01.158,2023-12-26,21,19,2
smcfb.01.158,2023-12-27,30,30,0
smcfb.01.158,2023-12-28,62,44,18
smcfb.01.158,2023-12-29,37,31,6
smcfb.01.158,2023-12-30,27,25,2
smcfb.01.158,2023-12-31,81,71,10
smcfb.01.158,2024-01-01,173,119,54
smcfb.01.158,2024-01-02,147,121,26
smcfb.01.158,2024-01-03,179,109,68
smcfb.01.158,2024-01-04,281,205,76
smcfb.01.158,2024-01-05,36,34,2
smcfb.01.158,2024-01-06,71,65,6
smcfb.01.158,2024-01-07,108,56,48
smcfb.01.158,2024-01-08,40,36,4
smcfb.01.158,2024-01-09,128,94,34
smcfb.01.158,2024-01-10,207,149,58
smcfb.01.158,2024-01-11,39,35,4
smcfb.01.158,2024-01-12,14,10,4
smcfb.01.158,2024-01-13,0,0,0
smcfb.01.158,2024-01-14,17,13,4
smcfb.01.158,2024-01-15,32,30,2
smcfb.01.158,2024-01-16,72,56,16
smcfb.01.158,2024-01-17,80,72,8
smcfb.01.158,2024-01-18,40,30,10
smcfb.01.158,2024-01-19,25,17,8
smcfb.01.158,2024-01-20,73,61,12
smcfb.01.158,2024-01-21,115,77,38
smcfb.01.158,2024-01-22,69,57,12
smcfb.01.158,2024-01-23,56,42,14
smcfb.01.158,2024-01-24,132,94,30
smcfb.01.158,2024-01-25,23,13,10
smcfb.01.158,2024-01-26,122,98,24
smcfb.01.158,2024-01-27,210,122,88
smcfb.01.158,2024-01-28,143,105,38
smcfb.01.158,2024-01-29,118,104,14
smcfb.01.158,2024-01-30,235,123,106
smcfb.01.158,2024-01-31,108,84,24
smcfb.01.158,2024-02-01,5,5,0
smcfb.01.158,2024-02-02,62,36,26
smcfb.01.158,2024-02-03,68,52,16
smcfb.01.158,2024-02-04,129,91,38
smcfb.01.158,2024-02-05,66,54,12
smcfb.01.158,2024-02-06,111,93,18
smcfb.01.158,2024-02-07,77,59,18
smcfb.01.158,2024-02-08,131,93,38
smcfb.01.158,2024-02-09,65,53,12
smcfb.01.158,2024-02-10,18,14,4
smcfb.01.158,2024-02-10,18,14,4
smcfb.01.158,2024-02-11,43,33,10
smcfb.01.158,2024-02-12,92,64,28
smcfb.01.158,2024-02-13,175,93,82
smcfb.01.158,2024-02-14,280,192,88
smcfb.01.158,2024-02-15,32,32,0
smcfb.01.158,2024-02-16,93,49,44
smcfb.01.158,2024-02-17,185,127,56
smcfb.01.158,2024-02-18,69,67,2
smcfb.01.158,2024-02-16,93,49,44
smcfb.01.158,2024-02-19,74,52,22
smcfb.01.158,2024-02-20,23,19,4
smcfb.01.158,2024-02-21,148,122,26
smcfb.01.158,2024-02-22,58,46,12
smcfb.01.158,2024-02-23,36,34,2
smcfb.01.158,2024-02-24,0,0,0
smcfb.01.158,2024-02-25,0,0,0
smcfb.01.158,2024-02-26,0,0,0
smcfb.01.158,2024-02-27,0,0,0
smcfb.01.158,2024-02-28,0,0,0
smcfb.01.158,2024-02-29,0,0,0
smcfb.01.158,2024-03-01,0,0,0
smcfb.01.158,2024-03-02,0,0,0
smcfb.01.158,2024-03-04,0,0,0
smcfb.01.158,2024-03-05,0,0,0
smcfb.01.158,2024-03-07,0,0,0
smcfb.01.158,2024-03-09,0,0,0
smcfb.01.158,2024-03-13,0,0,0
