user_id,date,activeZoneMinutes,fatBurnActiveZoneMinutes,cardioActiveZoneMinutes
smcfb.01.092,2023-09-18,29,29,0
smcfb.01.092,2023-09-19,83,79,4
smcfb.01.092,2023-09-20,186,160,26
smcfb.01.092,2023-09-21,119,111,8
smcfb.01.092,2023-09-22,194,190,4
smcfb.01.092,2023-09-23,143,125,18
smcfb.01.092,2023-09-24,166,148,18
smcfb.01.092,2023-09-25,132,112,20
smcfb.01.092,2023-09-26,185,177,8
smcfb.01.092,2023-09-27,50,48,2
smcfb.01.092,2023-09-28,196,164,32
smcfb.01.092,2023-09-29,36,36,0
smcfb.01.092,2023-09-30,62,50,12
smcfb.01.092,2023-10-01,92,90,2
smcfb.01.092,2023-10-02,46,36,10
smcfb.01.092,2023-10-03,216,202,14
smcfb.01.092,2023-10-04,143,109,30
smcfb.01.092,2023-10-05,208,202,6
smcfb.01.092,2023-10-06,323,287,36
smcfb.01.092,2023-10-07,90,74,16
smcfb.01.092,2023-10-08,114,86,28
smcfb.01.092,2023-10-09,111,85,26
smcfb.01.092,2023-10-10,284,226,54
smcfb.01.092,2023-10-11,68,36,30
smcfb.01.092,2023-10-12,189,185,4
smcfb.01.092,2023-10-13,226,178,44
smcfb.01.092,2023-10-14,178,140,32
smcfb.01.092,2023-10-15,80,46,34
smcfb.01.092,2023-10-16,103,97,6
smcfb.01.092,2023-10-17,169,125,42
smcfb.01.092,2023-10-18,2,2,0
smcfb.01.092,2023-10-19,157,127,26
smcfb.01.092,2023-10-20,22,16,6
smcfb.01.092,2023-10-21,22,20,2
smcfb.01.092,2023-10-22,131,117,14
smcfb.01.092,2023-10-23,107,105,2
smcfb.01.092,2023-10-24,96,88,8
smcfb.01.092,2023-10-25,88,66,16
smcfb.01.092,2023-10-26,106,90,12
smcfb.01.092,2023-10-27,30,28,2
smcfb.01.092,2023-10-28,59,57,2
smcfb.01.092,2023-10-29,84,70,12
smcfb.01.092,2023-10-30,255,237,18
smcfb.01.092,2023-10-31,157,143,14
smcfb.01.092,2023-11-01,134,46,88
smcfb.01.092,2023-11-02,142,126,16
smcfb.01.092,2023-11-03,91,71,20
smcfb.01.092,2023-11-04,6,6,0
smcfb.01.092,2023-11-05,15,15,0
smcfb.01.092,2023-11-06,43,37,6
smcfb.01.092,2023-11-07,80,66,10
smcfb.01.092,2023-11-08,157,119,34
smcfb.01.092,2023-11-09,39,39,0
smcfb.01.092,2023-11-10,86,84,2
smcfb.01.092,2023-11-11,9,9,0
smcfb.01.092,2023-11-12,92,92,0
smcfb.01.092,2023-11-13,74,74,0
smcfb.01.092,2023-11-14,38,18,20
smcfb.01.092,2023-11-15,63,53,10
smcfb.01.092,2023-11-16,96,80,12
smcfb.01.092,2023-11-17,23,23,0
smcfb.01.092,2023-11-18,12,12,0
smcfb.01.092,2023-11-19,61,61,0
smcfb.01.092,2023-11-20,176,150,22
smcfb.01.092,2023-11-21,148,124,24
smcfb.01.092,2023-11-22,111,101,10
smcfb.01.092,2023-11-23,56,54,2
smcfb.01.092,2023-11-24,15,15,0
smcfb.01.092,2023-11-25,56,42,14
smcfb.01.092,2023-11-26,184,126,58
smcfb.01.092,2023-11-27,0,0,0
smcfb.01.092,2023-11-28,58,58,0
smcfb.01.092,2023-11-29,105,93,12
smcfb.01.092,2023-11-30,4,4,0
smcfb.01.092,2023-12-01,29,29,0
smcfb.01.092,2023-12-02,104,58,46
smcfb.01.092,2023-12-03,53,53,0
smcfb.01.092,2023-12-04,19,19,0
smcfb.01.092,2023-12-05,75,75,0
smcfb.01.092,2023-12-06,48,48,0
smcfb.01.092,2023-12-07,22,22,0
smcfb.01.092,2023-12-08,157,133,24
smcfb.01.092,2023-12-09,110,110,0
smcfb.01.092,2023-12-10,1,1,0
smcfb.01.092,2023-12-11,9,9,0
smcfb.01.092,2023-12-12,70,66,4
smcfb.01.092,2023-12-13,237,199,30
smcfb.01.092,2023-12-14,101,83,6
smcfb.01.092,2023-12-15,27,27,0
smcfb.01.092,2023-12-16,12,12,0
smcfb.01.092,2023-12-17,0,0,0
smcfb.01.092,2023-12-18,3,3,0
smcfb.01.092,2023-12-19,124,112,12
smcfb.01.092,2023-12-20,53,53,0
smcfb.01.092,2023-12-21,49,43,6
smcfb.01.092,2023-12-22,28,28,0
smcfb.01.092,2023-12-23,104,82,16
smcfb.01.092,2023-12-24,112,106,6
smcfb.01.092,2023-12-25,75,65,6
smcfb.01.092,2023-12-26,254,158,92
smcfb.01.092,2023-12-27,39,39,0
smcfb.01.092,2023-12-28,194,158,32
smcfb.01.092,2023-12-29,40,38,2
smcfb.01.092,2023-12-30,46,44,2
smcfb.01.092,2023-12-31,29,29,0
smcfb.01.092,2024-01-01,106,104,2
smcfb.01.092,2024-01-02,100,80,12
smcfb.01.092,2024-01-03,7,7,0
smcfb.01.092,2024-01-03,7,7,0
smcfb.01.092,2024-01-04,0,0,0
smcfb.01.092,2024-01-05,0,0,0
smcfb.01.092,2024-01-06,0,0,0
smcfb.01.092,2024-01-07,0,0,0
smcfb.01.092,2024-01-08,0,0,0
smcfb.01.092,2024-01-09,0,0,0
smcfb.01.092,2024-01-10,0,0,0
