user_id,date,time_min,value
smcfb.01.028,2023-07-14,13:02:00,70
smcfb.01.028,2023-07-14,13:03:00,80
smcfb.01.028,2023-07-14,13:19:00,82
smcfb.01.028,2023-07-14,13:20:00,93
smcfb.01.028,2023-07-14,13:21:00,93
smcfb.01.028,2023-07-14,13:22:00,92
smcfb.01.028,2023-07-14,13:23:00,93
smcfb.01.028,2023-07-14,13:24:00,92
smcfb.01.028,2023-07-14,13:25:00,88
smcfb.01.028,2023-07-14,13:26:00,94
smcfb.01.028,2023-07-14,13:27:00,94
smcfb.01.028,2023-07-14,13:28:00,92
smcfb.01.028,2023-07-14,13:29:00,92
smcfb.01.028,2023-07-14,13:30:00,91
smcfb.01.028,2023-07-14,13:31:00,90
smcfb.01.028,2023-07-14,13:32:00,90
smcfb.01.028,2023-07-14,13:33:00,90
smcfb.01.028,2023-07-14,13:34:00,88
smcfb.01.028,2023-07-14,13:35:00,88
smcfb.01.028,2023-07-14,13:36:00,89
smcfb.01.028,2023-07-14,13:37:00,88
smcfb.01.028,2023-07-14,13:38:00,88
smcfb.01.028,2023-07-14,13:39:00,88
smcfb.01.028,2023-07-14,13:40:00,89
smcfb.01.028,2023-07-14,13:41:00,85
smcfb.01.028,2023-07-14,13:42:00,88
smcfb.01.028,2023-07-14,13:43:00,89
smcfb.01.028,2023-07-14,13:44:00,88
smcfb.01.028,2023-07-14,13:45:00,90
smcfb.01.028,2023-07-14,13:46:00,87
smcfb.01.028,2023-07-14,13:47:00,87
smcfb.01.028,2023-07-14,13:48:00,88
smcfb.01.028,2023-07-14,13:49:00,88
smcfb.01.028,2023-07-14,13:50:00,87
smcfb.01.028,2023-07-14,13:51:00,86
smcfb.01.028,2023-07-14,13:52:00,91
smcfb.01.028,2023-07-14,13:53:00,89
smcfb.01.028,2023-07-14,13:54:00,87
smcfb.01.028,2023-07-14,13:55:00,87
smcfb.01.028,2023-07-14,13:56:00,85
smcfb.01.028,2023-07-14,13:57:00,85
smcfb.01.028,2023-07-14,13:58:00,85
smcfb.01.028,2023-07-14,13:59:00,85
smcfb.01.028,2023-07-14,14:00:00,85
smcfb.01.028,2023-07-14,14:01:00,86
smcfb.01.028,2023-07-14,14:02:00,87
smcfb.01.028,2023-07-14,14:03:00,85
smcfb.01.028,2023-07-14,14:04:00,85
smcfb.01.028,2023-07-14,14:05:00,85
smcfb.01.028,2023-07-14,14:06:00,85
smcfb.01.028,2023-07-14,14:07:00,85
smcfb.01.028,2023-07-14,14:08:00,81
smcfb.01.028,2023-07-14,14:09:00,61
smcfb.01.028,2023-07-14,14:10:00,75
smcfb.01.028,2023-07-14,14:11:00,83
smcfb.01.028,2023-07-14,14:12:00,84
smcfb.01.028,2023-07-14,14:13:00,85
smcfb.01.028,2023-07-14,14:14:00,84
smcfb.01.028,2023-07-14,14:15:00,85
smcfb.01.028,2023-07-14,14:16:00,86
smcfb.01.028,2023-07-14,14:17:00,85
smcfb.01.028,2023-07-14,14:18:00,84
smcfb.01.028,2023-07-14,14:19:00,88
smcfb.01.028,2023-07-14,14:20:00,89
smcfb.01.028,2023-07-14,14:21:00,91
smcfb.01.028,2023-07-14,14:22:00,91
smcfb.01.028,2023-07-14,14:23:00,83
smcfb.01.028,2023-07-14,14:24:00,91
smcfb.01.028,2023-07-14,14:25:00,91
smcfb.01.028,2023-07-14,14:26:00,92
smcfb.01.028,2023-07-14,14:27:00,90
smcfb.01.028,2023-07-14,14:28:00,91
smcfb.01.028,2023-07-14,14:29:00,93
smcfb.01.028,2023-07-14,14:30:00,93
smcfb.01.028,2023-07-14,14:31:00,93
smcfb.01.028,2023-07-14,14:32:00,92
smcfb.01.028,2023-07-14,14:33:00,93
smcfb.01.028,2023-07-14,14:34:00,90
smcfb.01.028,2023-07-14,14:35:00,89
smcfb.01.028,2023-07-14,14:36:00,91
smcfb.01.028,2023-07-14,14:37:00,90
smcfb.01.028,2023-07-14,14:38:00,90
smcfb.01.028,2023-07-14,14:39:00,90
smcfb.01.028,2023-07-14,14:40:00,91
smcfb.01.028,2023-07-14,14:41:00,93
smcfb.01.028,2023-07-14,14:42:00,90
smcfb.01.028,2023-07-14,14:43:00,86
smcfb.01.028,2023-07-14,14:44:00,85
smcfb.01.028,2023-07-14,14:45:00,86
smcfb.01.028,2023-07-14,14:46:00,86
smcfb.01.028,2023-07-14,14:47:00,86
smcfb.01.028,2023-07-14,14:48:00,85
smcfb.01.028,2023-07-14,14:49:00,86
smcfb.01.028,2023-07-14,14:50:00,86
smcfb.01.028,2023-07-14,14:51:00,89
smcfb.01.028,2023-07-14,14:52:00,89
smcfb.01.028,2023-07-14,14:53:00,88
smcfb.01.028,2023-07-14,14:54:00,88
smcfb.01.028,2023-07-14,14:55:00,87
smcfb.01.028,2023-07-14,14:56:00,88
smcfb.01.028,2023-07-14,14:57:00,88
smcfb.01.028,2023-07-14,14:58:00,88
smcfb.01.028,2023-07-14,14:59:00,88
smcfb.01.028,2023-07-14,15:00:00,89
smcfb.01.028,2023-07-14,15:01:00,87
smcfb.01.028,2023-07-14,15:02:00,90
smcfb.01.028,2023-07-14,15:03:00,90
smcfb.01.028,2023-07-14,15:04:00,89
smcfb.01.028,2023-07-14,15:05:00,88
smcfb.01.028,2023-07-14,15:06:00,90
