user_id,date,activeZoneMinutes,fatBurnActiveZoneMinutes,cardioActiveZoneMinutes
smcfb.01.078,2023-09-01,55,55,0
smcfb.01.078,2023-09-02,107,65,42
smcfb.01.078,2023-09-03,36,24,12
smcfb.01.078,2023-09-04,6,6,0
smcfb.01.078,2023-09-05,162,148,14
smcfb.01.078,2023-09-06,43,35,8
smcfb.01.078,2023-09-07,67,63,4
smcfb.01.078,2023-09-08,22,18,4
smcfb.01.078,2023-09-09,19,19,0
smcfb.01.078,2023-09-10,9,7,2
smcfb.01.078,2023-09-08,22,18,4
smcfb.01.078,2023-09-11,10,10,0
smcfb.01.078,2023-09-12,23,23,0
smcfb.01.078,2023-09-13,20,20,0
smcfb.01.078,2023-09-14,87,45,42
smcfb.01.078,2023-09-15,52,42,10
smcfb.01.078,2023-09-16,8,8,0
smcfb.01.078,2023-09-17,28,28,0
smcfb.01.078,2023-09-18,61,53,8
smcfb.01.078,2023-09-19,112,110,2
smcfb.01.078,2023-09-20,63,63,0
smcfb.01.078,2023-09-21,89,87,2
smcfb.01.078,2023-09-22,73,61,12
smcfb.01.078,2023-09-23,91,89,2
smcfb.01.078,2023-09-24,71,51,20
smcfb.01.078,2023-09-25,95,79,16
smcfb.01.078,2023-09-26,95,65,30
smcfb.01.078,2023-09-27,0,0,0
smcfb.01.078,2023-09-28,10,10,0
smcfb.01.078,2023-09-29,0,0,0
smcfb.01.078,2023-09-30,3,3,0
smcfb.01.078,2023-10-01,24,22,2
smcfb.01.078,2023-10-02,53,47,6
smcfb.01.078,2023-10-03,8,8,0
smcfb.01.078,2023-10-04,96,50,20
smcfb.01.078,2023-10-05,55,49,6
smcfb.01.078,2023-10-06,152,82,70
smcfb.01.078,2023-10-07,145,75,70
smcfb.01.078,2023-10-08,0,0,0
smcfb.01.078,2023-10-09,21,19,2
smcfb.01.078,2023-10-10,39,29,10
smcfb.01.078,2023-10-11,7,7,0
smcfb.01.078,2023-10-12,137,39,98
smcfb.01.078,2023-10-13,139,65,74
smcfb.01.078,2023-10-14,12,6,6
smcfb.01.078,2023-10-15,0,0,0
smcfb.01.078,2023-10-16,193,129,60
smcfb.01.078,2023-10-17,167,87,58
smcfb.01.078,2023-10-18,105,87,18
smcfb.01.078,2023-10-19,55,33,22
smcfb.01.078,2023-10-20,111,39,44
smcfb.01.078,2023-10-21,64,42,22
smcfb.01.078,2023-10-22,0,0,0
smcfb.01.078,2023-10-23,128,82,46
smcfb.01.078,2023-10-24,35,35,0
smcfb.01.078,2023-10-25,40,36,4
smcfb.01.078,2023-10-26,162,110,52
smcfb.01.078,2023-10-27,78,58,20
smcfb.01.078,2023-10-28,3,3,0
smcfb.01.078,2023-10-29,0,0,0
smcfb.01.078,2023-10-30,4,4,0
smcfb.01.078,2023-10-31,270,184,86
smcfb.01.078,2023-11-01,165,95,70
smcfb.01.078,2023-11-02,92,80,12
smcfb.01.078,2023-11-03,22,20,2
smcfb.01.078,2023-11-04,75,51,24
smcfb.01.078,2023-11-05,15,15,0
smcfb.01.078,2023-11-06,89,69,20
smcfb.01.078,2023-11-07,57,53,4
smcfb.01.078,2023-11-08,32,32,0
smcfb.01.078,2023-11-09,129,125,4
smcfb.01.078,2023-11-10,5,5,0
smcfb.01.078,2023-11-11,55,55,0
smcfb.01.078,2023-11-12,1,1,0
smcfb.01.078,2023-11-13,16,16,0
smcfb.01.078,2023-11-14,97,97,0
smcfb.01.078,2023-11-15,7,7,0
smcfb.01.078,2023-11-16,113,95,18
smcfb.01.078,2023-11-17,8,2,6
smcfb.01.078,2023-11-18,4,4,0
smcfb.01.078,2023-11-19,10,10,0
smcfb.01.078,2023-11-19,10,10,0
smcfb.01.078,2023-11-20,20,20,0
smcfb.01.078,2023-11-21,63,63,0
smcfb.01.078,2023-11-22,20,20,0
smcfb.01.078,2023-11-23,98,90,8
smcfb.01.078,2023-11-24,34,28,6
smcfb.01.078,2023-11-25,2,2,0
smcfb.01.078,2023-11-26,0,0,0
smcfb.01.078,2023-11-27,0,0,0
smcfb.01.078,2023-11-28,0,0,0
smcfb.01.078,2023-11-29,0,0,0
smcfb.01.078,2023-11-30,65,63,2
smcfb.01.078,2023-12-01,17,13,4
smcfb.01.078,2023-12-02,0,0,0
smcfb.01.078,2023-12-03,0,0,0
smcfb.01.078,2023-12-04,0,0,0
smcfb.01.078,2023-12-05,0,0,0
smcfb.01.078,2023-12-06,0,0,0
smcfb.01.078,2023-12-07,0,0,0
smcfb.01.078,2023-12-08,0,0,0
smcfb.01.078,2023-12-09,0,0,0
smcfb.01.078,2023-12-10,0,0,0
smcfb.01.078,2023-12-11,0,0,0
smcfb.01.078,2023-12-12,0,0,0
smcfb.01.078,2023-12-13,0,0,0
smcfb.01.078,2023-12-14,0,0,0
smcfb.01.078,2023-12-15,0,0,0
smcfb.01.078,2023-12-16,0,0,0
smcfb.01.078,2023-12-17,0,0,0
smcfb.01.078,2023-12-18,0,0,0
smcfb.01.078,2023-12-19,0,0,0
smcfb.01.078,2023-12-20,0,0,0
smcfb.01.078,2023-12-21,0,0,0
smcfb.01.078,2023-12-22,0,0,0
smcfb.01.078,2023-12-23,0,0,0
smcfb.01.078,2023-12-24,0,0,0
smcfb.01.078,2023-12-25,0,0,0
smcfb.01.078,2023-12-26,0,0,0
smcfb.01.078,2023-12-27,0,0,0
smcfb.01.078,2023-12-28,0,0,0
smcfb.01.078,2023-12-29,0,0,0
smcfb.01.078,2023-12-30,0,0,0
