user_id,date,time_min,value
smcfb.01.084,2023-09-06,13:11:00,70
smcfb.01.084,2023-09-06,13:12:00,85
smcfb.01.084,2023-09-06,13:13:00,88
smcfb.01.084,2023-09-06,13:14:00,87
smcfb.01.084,2023-09-06,13:15:00,86
smcfb.01.084,2023-09-06,13:16:00,87
smcfb.01.084,2023-09-06,13:17:00,91
smcfb.01.084,2023-09-06,13:18:00,93
smcfb.01.084,2023-09-06,13:19:00,92
smcfb.01.084,2023-09-06,13:20:00,93
smcfb.01.084,2023-09-06,13:21:00,93
smcfb.01.084,2023-09-06,13:22:00,91
smcfb.01.084,2023-09-06,13:23:00,87
smcfb.01.084,2023-09-06,13:24:00,90
smcfb.01.084,2023-09-06,13:25:00,92
smcfb.01.084,2023-09-06,13:26:00,89
smcfb.01.084,2023-09-06,13:27:00,84
smcfb.01.084,2023-09-06,13:28:00,85
smcfb.01.084,2023-09-06,13:29:00,85
smcfb.01.084,2023-09-06,13:30:00,85
smcfb.01.084,2023-09-06,13:31:00,86
smcfb.01.084,2023-09-06,13:32:00,85
smcfb.01.084,2023-09-06,13:33:00,85
smcfb.01.084,2023-09-06,13:34:00,85
smcfb.01.084,2023-09-06,13:35:00,85
smcfb.01.084,2023-09-06,13:36:00,85
smcfb.01.084,2023-09-06,13:37:00,85
smcfb.01.084,2023-09-06,13:38:00,79
smcfb.01.084,2023-09-06,13:39:00,81
smcfb.01.084,2023-09-06,13:40:00,83
smcfb.01.084,2023-09-06,13:41:00,83
smcfb.01.084,2023-09-06,13:42:00,81
smcfb.01.084,2023-09-06,13:43:00,82
smcfb.01.084,2023-09-06,13:44:00,83
smcfb.01.084,2023-09-06,13:45:00,83
smcfb.01.084,2023-09-06,13:46:00,84
smcfb.01.084,2023-09-06,13:47:00,83
smcfb.01.084,2023-09-06,13:48:00,80
smcfb.01.084,2023-09-06,13:49:00,84
smcfb.01.084,2023-09-06,13:50:00,84
smcfb.01.084,2023-09-06,13:51:00,84
smcfb.01.084,2023-09-06,13:52:00,85
smcfb.01.084,2023-09-06,13:53:00,88
smcfb.01.084,2023-09-06,13:54:00,83
smcfb.01.084,2023-09-06,13:55:00,84
smcfb.01.084,2023-09-06,13:56:00,84
smcfb.01.084,2023-09-06,13:57:00,84
smcfb.01.084,2023-09-06,13:59:00,69
smcfb.01.084,2023-09-06,14:00:00,66
smcfb.01.084,2023-09-06,14:04:00,68
smcfb.01.084,2023-09-06,14:05:00,65
smcfb.01.084,2023-09-06,14:17:00,69
smcfb.01.084,2023-09-06,14:18:00,69
smcfb.01.084,2023-09-06,16:01:00,70
smcfb.01.084,2023-09-06,16:02:00,71
smcfb.01.084,2023-09-06,16:21:00,69
smcfb.01.084,2023-09-06,16:22:00,78
smcfb.01.084,2023-09-06,16:23:00,80
smcfb.01.084,2023-09-06,16:24:00,85
smcfb.01.084,2023-09-06,16:25:00,79
smcfb.01.084,2023-09-06,16:26:00,78
smcfb.01.084,2023-09-06,16:27:00,76
smcfb.01.084,2023-09-06,16:28:00,73
smcfb.01.084,2023-09-06,16:29:00,78
smcfb.01.084,2023-09-06,16:30:00,84
smcfb.01.084,2023-09-06,16:31:00,85
smcfb.01.084,2023-09-06,16:32:00,83
smcfb.01.084,2023-09-06,16:33:00,87
smcfb.01.084,2023-09-06,16:34:00,86
smcfb.01.084,2023-09-06,16:35:00,86
smcfb.01.084,2023-09-06,16:36:00,85
smcfb.01.084,2023-09-06,16:37:00,84
smcfb.01.084,2023-09-06,16:38:00,84
smcfb.01.084,2023-09-06,16:39:00,86
smcfb.01.084,2023-09-06,16:40:00,86
smcfb.01.084,2023-09-06,16:41:00,84
smcfb.01.084,2023-09-06,16:42:00,86
smcfb.01.084,2023-09-06,16:43:00,87
smcfb.01.084,2023-09-06,16:44:00,88
smcfb.01.084,2023-09-06,16:45:00,89
smcfb.01.084,2023-09-06,16:46:00,89
