user_id,date,time_stamp,sleep_stage,sleep_duration
smcfb.01.002,6/14/2023,-1,-1,-1
smcfb.01.002,6/15/2023,-1,-1,-1
smcfb.01.002,6/16/2023,-1,-1,-1
smcfb.01.002,6/17/2023,11:30.0,asleep,8460
smcfb.01.002,6/18/2023,56:00.0,asleep,4080
smcfb.01.002,6/18/2023,04:00.0,restless,300
smcfb.01.002,6/18/2023,09:00.0,asleep,60
smcfb.01.002,6/18/2023,10:00.0,restless,60
smcfb.01.002,6/18/2023,11:00.0,asleep,6000
smcfb.01.002,6/19/2023,08:00.0,restless,120
smcfb.01.002,6/19/2023,10:00.0,asleep,3420
smcfb.01.002,6/19/2023,07:00.0,restless,240
smcfb.01.002,6/19/2023,11:00.0,awake,60
smcfb.01.002,6/19/2023,12:00.0,restless,60
smcfb.01.002,6/19/2023,13:00.0,awake,60
smcfb.01.002,6/19/2023,14:00.0,restless,180
smcfb.01.002,6/19/2023,17:00.0,asleep,2040
smcfb.01.002,6/19/2023,28:30.0,asleep,6360
smcfb.01.002,6/19/2023,14:30.0,restless,240
smcfb.01.002,6/19/2023,18:30.0,awake,60
smcfb.01.002,6/19/2023,19:30.0,restless,120
smcfb.01.002,6/19/2023,21:30.0,asleep,3660
smcfb.01.002,6/20/2023,-1,-1,-1
smcfb.01.002,6/21/2023,-1,-1,-1
smcfb.01.002,6/22/2023,-1,-1,-1
smcfb.01.002,6/23/2023,-1,-1,-1
smcfb.01.002,6/24/2023,-1,-1,-1
smcfb.01.002,7/3/2023,46:00.0,restless,300
smcfb.01.002,7/3/2023,51:00.0,asleep,2580
smcfb.01.002,7/3/2023,34:00.0,restless,60
smcfb.01.002,7/3/2023,35:00.0,asleep,1980
smcfb.01.002,7/3/2023,08:00.0,restless,120
smcfb.01.002,7/3/2023,10:00.0,asleep,3900
smcfb.01.002,7/3/2023,15:00.0,restless,300
smcfb.01.002,7/3/2023,20:00.0,asleep,600
smcfb.01.002,7/3/2023,46:00.0,wake,300
smcfb.01.002,7/3/2023,51:00.0,light,390
smcfb.01.002,7/3/2023,57:30.0,rem,270
smcfb.01.002,7/3/2023,02:00.0,light,1740
smcfb.01.002,7/3/2023,31:00.0,deep,1530
smcfb.01.002,7/3/2023,56:30.0,wake,300
smcfb.01.002,7/3/2023,01:30.0,light,2340
smcfb.01.002,7/3/2023,40:30.0,rem,300
smcfb.01.002,7/3/2023,45:30.0,light,720
smcfb.01.002,7/3/2023,57:30.0,rem,930
smcfb.01.002,7/3/2023,13:00.0,light,1770
smcfb.01.002,7/3/2023,42:30.0,rem,300
smcfb.01.002,7/3/2023,47:30.0,light,1770
smcfb.01.002,7/3/2023,17:00.0,rem,480
smcfb.01.002,7/3/2023,25:00.0,light,3450
smcfb.01.002,7/3/2023,22:30.0,wake,1410
smcfb.01.002,7/3/2023,46:00.0,light,840
smcfb.01.002,7/3/2023,00:00.0,rem,270
smcfb.01.002,7/3/2023,04:30.0,light,1770
smcfb.01.002,7/3/2023,34:00.0,wake,810
