user_id,date,distance,steps,calories,floors
smcfb.01.053,2023-08-21,1.7933999999999999,2559,1883,0
smcfb.01.053,2023-08-22,2.16762,3093,1950,0
smcfb.01.053,2023-08-23,1.8136599999999998,2588,1904,0
smcfb.01.053,2023-08-24,0.42417,605,1709,0
smcfb.01.053,2023-08-25,0.8447,1205,1874,0
smcfb.01.053,2023-08-26,0.54757,781,1827,0
smcfb.01.053,2023-08-27,1.03691,1479,2019,0
smcfb.01.053,2023-08-28,1.71576,2448,2061,0
smcfb.01.053,2023-08-29,2.36448,3373,2146,0
smcfb.01.053,2023-08-30,2.94514,4203,2080,0
smcfb.01.053,2023-08-31,3.90414,5572,2184,0
smcfb.01.053,2023-09-01,2.5887499999999997,3694,2204,0
smcfb.01.053,2023-09-02,3.52222,5031,2352,0
smcfb.01.053,2023-09-03,2.41605,3447,2013,0
smcfb.01.053,2023-09-04,2.25807,3222,2007,0
smcfb.01.053,2023-09-05,1.8376199999999998,2622,1876,0
smcfb.01.053,2023-09-06,3.6777599999999997,5248,2406,0
smcfb.01.053,2023-09-07,4.64022,6621,2607,0
smcfb.01.053,2023-09-08,4.11872,5878,2282,0
smcfb.01.053,2023-09-09,2.7982799999999997,3992,2390,0
smcfb.01.053,2023-09-10,1.30856,1952,1689,0
smcfb.01.053,2023-09-11,5.01401,7157,2260,0
smcfb.01.053,2023-09-12,3.0107999999999997,4296,2028,0
smcfb.01.053,2023-09-13,3.07035,4393,2142,0
smcfb.01.053,2023-09-14,4.4483999999999995,6349,2195,0
smcfb.01.053,2023-09-15,1.57029,2240,1868,0
smcfb.01.053,2023-09-16,5.52178,8896,2521,0
smcfb.01.053,2023-09-17,0.47952999999999996,684,1618,0
smcfb.01.053,2023-09-18,5.01422,7156,2399,0
smcfb.01.053,2023-09-19,1.49725,2136,1865,0
smcfb.01.053,2023-09-20,0.00981,14,1494,0
smcfb.01.053,2023-09-21,1.2556699999999998,1791,1758,0
smcfb.01.053,2023-09-22,2.6107,3729,2055,0
smcfb.01.053,2023-09-23,1.73654,2481,1849,0
smcfb.01.053,2023-09-24,2.67832,3821,2190,0
smcfb.01.053,2023-09-25,1.5022,2143,1808,0
smcfb.01.053,2023-09-26,1.20922,1725,1770,0
smcfb.01.053,2023-09-27,2.04906,2929,1825,0
smcfb.01.053,2023-09-28,2.19475,3131,1949,0
smcfb.01.053,2023-09-29,1.3396299999999999,1911,1817,0
smcfb.01.053,2023-09-30,4.36398,6227,2211,0
smcfb.01.053,2023-10-01,3.38992,4836,2214,0
smcfb.01.053,2023-10-02,2.7661,3947,2078,0
smcfb.01.053,2023-10-03,3.65503,5217,2090,0
smcfb.01.053,2023-10-04,1.49946,2403,2060,0
smcfb.01.053,2023-10-05,2.95485,4217,2134,0
smcfb.01.053,2023-10-06,1.55462,2218,2014,0
smcfb.01.053,2023-10-07,2.0086,2877,1836,0
smcfb.01.053,2023-10-08,3.35812,4792,1943,0
smcfb.01.053,2023-10-09,3.8459,5490,1993,0
smcfb.01.053,2023-10-10,4.74876,6779,2201,0
smcfb.01.053,2023-10-11,3.4752099999999997,4960,2161,0
smcfb.01.053,2023-10-12,2.1848099999999997,3117,1959,0
smcfb.01.053,2023-10-13,2.9508199999999998,4210,2185,0
smcfb.01.053,2023-10-14,2.9016699999999997,4141,2045,0
smcfb.01.053,2023-10-15,0.14934,213,1483,0
smcfb.01.053,2023-10-16,2.36389,3373,1918,0
smcfb.01.053,2023-10-17,4.0027,5713,2192,0
smcfb.01.053,2023-10-18,1.85988,2655,1973,0
smcfb.01.053,2023-10-19,1.31266,1873,1874,0
smcfb.01.053,2023-10-20,1.6897799999999998,2411,1901,0
smcfb.01.053,2023-10-21,0.58189,830,1607,0
smcfb.01.053,2023-10-22,0.16892,241,1494,0
smcfb.01.053,2023-10-23,0.02384,34,1454,0
smcfb.01.053,2023-10-24,0.41991,599,1526,0
smcfb.01.053,2023-10-25,0.17457,249,1486,0
smcfb.01.053,2023-10-26,2.1883,3122,2044,0
smcfb.01.053,2023-10-27,0.93734,1337,1763,0
smcfb.01.053,2023-10-28,2.35552,3365,2053,0
smcfb.01.053,2023-10-29,1.00522,1436,1735,0
smcfb.01.053,2023-10-30,2.34075,3344,1908,0
smcfb.01.053,2023-10-31,2.48991,3557,2018,0
smcfb.01.053,2023-11-01,3.1907099999999997,4559,2013,0
smcfb.01.053,2023-11-02,1.9040199999999998,2720,2017,0
smcfb.01.053,2023-11-03,0.76976,1098,1749,0
smcfb.01.053,2023-11-04,1.51949,2168,1803,0
smcfb.01.053,2023-11-05,2.70421,3859,1976,0
smcfb.01.053,2023-11-06,3.40522,4860,2164,0
smcfb.01.053,2023-11-07,1.09411,1563,1862,0
smcfb.01.053,2023-11-08,3.11529,4446,2123,0
smcfb.01.053,2023-11-09,1.81247,2588,1960,0
smcfb.01.053,2023-11-10,4.69271,6708,2426,0
smcfb.01.053,2023-11-11,3.38657,4836,2724,0
smcfb.01.053,2023-11-10,4.69271,6708,2426,0
smcfb.01.053,2023-11-12,1.5974,2282,1945,0
smcfb.01.053,2023-11-13,3.24241,4633,2113,0
smcfb.01.053,2023-11-14,0.5906399999999999,790,1547,0
smcfb.01.053,2023-11-15,1.4176799999999998,1846,1641,0
smcfb.01.053,2023-11-16,2.04873,2927,1892,0
smcfb.01.053,2023-11-17,1.91786,2740,1808,0
smcfb.01.053,2023-11-18,1.9717399999999998,2817,1843,0
smcfb.01.053,2023-11-19,1.57618,2142,1731,0
smcfb.01.053,2023-11-20,1.3238299999999998,1891,1735,0
smcfb.01.053,2023-11-21,1.33201,1900,1966,0
smcfb.01.053,2023-11-22,4.155819999999999,5932,2081,0
smcfb.01.053,2023-11-23,5.94171,8497,2466,0
smcfb.01.053,2023-11-24,2.8485099999999997,4070,2028,0
smcfb.01.053,2023-11-25,2.75861,3941,2030,0
smcfb.01.053,2023-11-26,3.5558199999999998,5081,2052,0
smcfb.01.053,2023-11-27,2.08197,2974,1998,0
smcfb.01.053,2023-11-28,1.3129199999999999,1873,1929,0
smcfb.01.053,2023-11-29,1.11178,1586,1842,0
smcfb.01.053,2023-11-30,1.7104,2440,1957,0
smcfb.01.053,2023-12-01,1.8452,2636,1937,0
smcfb.01.053,2023-12-02,3.5511899999999996,5076,2280,0
smcfb.01.053,2023-12-03,3.6383099999999997,5199,2069,0
smcfb.01.053,2023-12-04,2.79085,3987,2160,0
smcfb.01.053,2023-12-05,3.6798699999999998,5252,2198,0
smcfb.01.053,2023-12-06,2.88056,4110,2299,0
smcfb.01.053,2023-12-07,1.58775,2265,1919,0
smcfb.01.053,2023-12-08,2.54217,3631,2038,0
smcfb.01.053,2023-12-09,4.146809999999999,5921,2296,0
smcfb.01.053,2023-12-10,3.81691,5453,2120,0
smcfb.01.053,2023-12-11,2.3827,3197,1745,0
smcfb.01.053,2023-12-12,1.45742,1979,1643,0
smcfb.01.053,2023-12-13,3.08989,3515,1717,0
smcfb.01.053,2023-12-14,1.39724,1835,1643,0
smcfb.01.053,2023-12-15,0.20121999999999998,287,1487,0
smcfb.01.053,2023-12-16,0.22855,326,1487,0
smcfb.01.053,2023-12-17,0.77744,1109,1551,0
smcfb.01.053,2023-12-18,2.7891,3088,1675,0
smcfb.01.053,2023-12-19,1.71294,2119,1638,0
smcfb.01.053,2023-12-20,1.38442,1912,1636,0
smcfb.01.053,2023-12-21,0.5944699999999999,848,1546,0
smcfb.01.053,2023-12-22,1.9344599999999998,2324,1651,0
smcfb.01.053,2023-12-23,0.34836,497,1510,0
smcfb.01.053,2023-12-24,3.22511,3690,1729,0
smcfb.01.053,2023-12-25,1.01404,1417,1611,0
smcfb.01.053,2023-12-26,2.65122,3387,1723,0
smcfb.01.053,2023-12-27,1.1557,1564,1620,0
smcfb.01.053,2023-12-28,0.37367999999999996,533,1511,0
smcfb.01.053,2023-12-29,1.0911499999999998,1527,1602,0
smcfb.01.053,2023-12-30,2.66052,3447,1740,0
